Populations;;;;;;;;
;;;;;;;;
;;;;;;;;
City;No.;2000;2015;Densité;Densité normé;Latitude;Longitude;Zone
London;1;11100;11977;5354;0.124283293;51.5;-0.1167;N
Paris;2;9775;12405;21154;0.491051324;48.85;2.3333;N
Rome;3;3175;2874;2236;0.05190464;41.8667;12.6167;N
Berlin;4;5061;3469;3891;0.090322431;52.5167;13.3333;N
Madrid;5;4650;3141;5138;0.11926925;40.4333;-3.7;N
Warsaw;6;2323;1726;3338;0.07748555;52.5834;21.0833;N
Budapest;7;2565;1733;3301;0.076626663;47.433;19.25;N
Sofia;8;1205;1430;7944;0.184405395;42.7167;23.3333;N
Stockholm;9;1450;917;4901;0.113767729;47.083;-68.133;N
Hong-Kong;10;5396;7071;6405;0.148680331;22.25;114.2;E
Tokyo;11;23620;13474;6156;0.142900253;35.6833;139.7333;N
Peking;12;10500;21150;1289;0.029921772;39.9166;116.3833;N
Shanghai;13;9300;16831;3631;0.084287008;31.233;121.45;N
Singapore;14;3025;5535;7697;0.178671743;1.3667;103.75;E
Manila;15;5474;1660;43079;1;14.6167;121;E
Bangkok;16;6450;8249;2005;0.046542399;13.8333;100.4833;E
Jacarta;17;8600;9757;14694;0.341094269;-6.15;106.85;E
Calcutta;18;11100;4496;24306;0.564219225;22.5333;88.3667;E
Bombay;19;9950;12478;20680;0.480048283;18.9667;72.8333;E
Delhi;20;7200;16787;11320;0.262773045;32.433;-91.483;N
Madras;21;4475;6221;14581;0.338471181;13;80.183;E
Seoul;22;15850;10140;16746;0.388727686;37.5833;127.05;N
Teheran;23;6400;8846;12896;0.299356995;35.75;51.5;N
Karachi;24;5300;21142;5995;0.139162933;24.9;67.15;N
Cairo;25;9300;15452;11087;0.257364377;30;31.2833;N
Lagos;26;3800;12090;12095;0.280763249;6.583;3.033;E
Kinshasa;27;3000;12071;1211;0.028111145;-4.383;15.45;E
Johannesburg;28;3650;4435;2698;0.062629123;-26.1333;27.9;S
Casablanca;29;2475;3360;4276;0.0992595;33.5333;-7.6832;N
Mexico;30;14100;21000;14047;0.32607535;19.4667;-99.1499;E
Bogota;31;4260;6778;3817;0.088604657;4.6333;-74.0999;E
Havana;32;2125;2106;2921;0.067805659;23.1333;-82.3832;S
Caracas;33;3600;4850;2513;0.058334687;10.5;-66.9666;E
Lima;34;4344;8890;3327;0.077230205;-12.0999;-76.9166;E
Santiago;35;4100;4912;7659;0.177789642;-33.4332;-70.6666;S
Buenos Aires;36;10750;14500;15226;0.353443673;-34.3332;-58.4999;S
Rio de Janeiro;37;10150;12620;4836;0.112258873;-22.45;-42.717;E
Sao Paulo;38;15175;11895;7811;0.181318044;-23.5666;-46.6332;E
Honolulu;39;762;953;1239;0.028761113;21.3061;-157.86;E
Sydney;40;3365;4840;391;0.009076348;-33.9166;151.2833;S
Melbourne;41;2833;4440;577;0.013393997;-37.8666;145.1333;S
Perth;42;995;2021;375;0.008704937;-31.8332;116.1667;S
Wellington;43;350;179;619;0.01436895;-41.2499;174.75;S
Montreal;44;2921;4127;5463;0.126813529;45.50884;-73.58781;N
New York;45;16472;8491;6992;0.16230646;40.71427;-74.00597;N
Los Angeles;46;9764;16400;3067;0.071194782;34.02;-118.153;N
Washington;47;3221;5860;3652;0.084774484;38.8975;-77.0092;N
Houston;48;2755;6313;1348;0.031291348;29.7572;-95.3603;N
Chicago;49;7717;9526;4492;0.104273544;41.8744;-87.6394;N
San Francisco;50;4054;8607;1419;0.032939483;37.7775;-122.411;N
Atlanta;51;1962;5457;1294;0.030037837;33.7528;-84.3936;N
Capetown;52;1790;434;1083;0.025139859;-33.92584;18.42322;S
;;;;;;;;
max densité;;;;;;;;
43079;;;;;;;;
